Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9984179996484444	[[5670, 1], [8, 10]]	0.6896551724137931	588.0	98.63945578231292	98.63945578231292	17.0	58.8235294117647	58.8235294117647	0.2	16.0	0.7741935483870969	0.8	0.75	12.0	3.0	4.0	18.0	0.7741935483870968	0.9230769230769231	0.6666666666666666	12.0	1.0	6.0
tested_positive	close_contact	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.987343997187555	[[5595, 32], [40, 22]]	0.3793103448275862	594.0	89.73063973063974	90.09539842873176	57.0	38.59649122807018	42.39766081871345	0.1	27.0	0.5517241379310345	0.5161290322580645	0.5925925925925926	16.0	15.0	11.0	62.0	0.4461538461538461	0.4264705882352941	0.46774193548387094	29.0	39.0	33.0
tested_positive	employer	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9855862190191598	[[5570, 16], [66, 37]]	0.47435897435897445	591.0	87.64805414551607	87.9639029892837	103.0	36.89320388349515	38.70550161812297	0.6	47.0	0.5822784810126582	0.71875	0.48936170212765956	23.0	9.0	24.0	103.0	0.4645161290322581	0.6923076923076923	0.34951456310679613	36.0	16.0	67.0
tested_positive	gender_male	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9847073299349622	[[5521, 45], [42, 81]]	0.6506024096385543	605.0	88.4297520661157	89.89956232931442	123.0	66.66666666666667	73.8962212132944	0.1	67.0	0.6315789473684211	0.6363636363636364	0.6268656716417911	42.0	24.0	25.0	123.0	0.6641221374045803	0.6258992805755396	0.7073170731707317	87.0	52.0	36.0
tested_positive	gender_female	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9950782211284935	[[5630, 14], [14, 31]]	0.6888888888888889	595.0	96.80672268907563	97.39295718287315	44.0	70.45454545454545	78.38203463203463	0.2	29.0	0.6909090909090909	0.7307692307692307	0.6551724137931034	19.0	7.0	10.0	45.0	0.6875	0.6470588235294118	0.7333333333333333	33.0	18.0	12.0
tested_positive	name	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9625593250131833	[[5132, 72], [141, 344]]	0.7635960044395117	641.0	75.19500780031201	79.64603692372806	493.0	69.97971602434077	75.7669567304456	0.7	300.0	0.7468123861566485	0.8232931726907631	0.6833333333333333	205.0	44.0	95.0	485.0	0.7612612612612613	0.8387096774193549	0.6969072164948453	338.0	65.0	147.0
tested_positive	recent_travel	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9917384426085428	[[5620, 23], [24, 22]]	0.4835164835164835	598.0	93.31103678929766	93.88888888888889	49.0	44.89795918367347	51.95011337868481	0.8	35.0	0.5079365079365079	0.5714285714285714	0.45714285714285713	16.0	12.0	19.0	46.0	0.45238095238095233	0.5	0.41304347826086957	19.0	19.0	27.0
tested_positive	relation	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9975391105642468	[[5667, 9], [5, 8]]	0.5333333333333333	591.0	98.30795262267344	98.54765933446137	12.0	66.66666666666667	78.47222222222221	0.4	1.0	1.0	1.0	1.0	1.0	0.0	0.0	13.0	0.5333333333333333	0.47058823529411764	0.6153846153846154	8.0	9.0	5.0
tested_positive	when	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9952539989453331	[[5648, 13], [14, 14]]	0.509090909090909	590.0	95.59322033898304	95.59322033898304	29.0	48.275862068965516	48.275862068965516	0.5	20.0	0.5714285714285713	0.5454545454545454	0.6	12.0	10.0	8.0	28.0	0.509090909090909	0.5185185185185185	0.5	14.0	13.0	14.0
tested_positive	where	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9674811038846898	[[5375, 133], [52, 129]]	0.5823927765237019	659.0	74.96206373292868	77.91663655851823	244.0	54.09836065573771	62.078129065833984	0.8	110.0	0.6307692307692307	0.5466666666666666	0.7454545454545455	82.0	68.0	28.0	181.0	0.5990566037735848	0.522633744855967	0.7016574585635359	127.0	116.0	54.0
